Lseq,count
11,34
12,132
13,62
14,107
15,60
16,81
17,103
18,42
19,91
20,274
21,90
22,171
23,75
24,39
25,5
26,40
27,51
28,83
29,28
30,86
31,85
32,87
33,28
34,47
35,15
36,72
37,131
38,68
39,84
40,18
41,50
42,207
43,205
44,64
45,4
46,25
47,57
48,129
49,142
50,33
51,19
52,41
54,7
55,86
56,46
57,89
58,160
60,14
61,13
62,14
63,13
64,68
65,56
66,282
67,562
68,239
69,383
70,400
71,483
72,1835
73,475
74,157
75,341
76,424
77,355
78,47
79,3
80,44
81,149
82,8
83,20
84,197
85,32
86,177
87,107
88,41
90,67
93,40
94,145
95,26
96,19
97,36
98,28
99,28
100,43
102,36
104,12
105,29
107,1
108,2
109,7
111,24
112,42
113,18
114,136
115,325
116,13
117,668
118,1809
119,945
120,3123
121,2567
123,13
125,17
