metric,winner,loser,delta
mfe,-30.700000762939453,-29.600000381469727,-1.1000003814697266
mfe,-30.0,-29.600000381469727,-0.39999961853027344
mfe,-33.099998474121094,-29.600000381469727,-3.499998092651367
mfe,-33.099998474121094,-31.200000762939453,-1.8999977111816406
mfe,-33.099998474121094,-30.299999237060547,-2.799999237060547
mfe,-33.099998474121094,-30.200000762939453,-2.8999977111816406
mfe,-34.70000076293945,-29.600000381469727,-5.100000381469727
mfe,-34.70000076293945,-31.200000762939453,-3.5
mfe,-34.70000076293945,-34.29999923706055,-0.40000152587890625
mfe,-33.70000076293945,-29.700000762939453,-4.0
mfe,-33.70000076293945,-29.700000762939453,-4.0
mfe,-33.400001525878906,-29.700000762939453,-3.700000762939453
mfe,-33.400001525878906,-29.700000762939453,-3.700000762939453
mfe,-33.400001525878906,-30.0,-3.4000015258789062
mfe,-30.399999618530273,-29.700000762939453,-0.6999988555908203
mfe,-30.399999618530273,-29.700000762939453,-0.6999988555908203
mfe,-30.399999618530273,-30.0,-0.39999961853027344
mfe,-31.899999618530273,-29.700000762939453,-2.1999988555908203
mfe,-31.899999618530273,-29.700000762939453,-2.1999988555908203
mfe,-30.0,-29.700000762939453,-0.2999992370605469
mfe,-33.70000076293945,-29.700000762939453,-4.0
mfe,-33.70000076293945,-29.700000762939453,-4.0
mfe,-32.5,-29.700000762939453,-2.799999237060547
mfe,-32.5,-29.700000762939453,-2.799999237060547
mfe,-31.600000381469727,-26.100000381469727,-5.5
mfe,-31.600000381469727,-24.899999618530273,-6.700000762939453
mfe,-14.899999618530273,-12.5,-2.3999996185302734
mfe,-14.100000381469727,-12.5,-1.6000003814697266
mfe,-16.799999237060547,-12.5,-4.299999237060547
mfe,-12.600000381469727,-12.5,-0.10000038146972656
mfe,-15.699999809265137,-12.5,-3.1999998092651367
mfe,-20.0,-18.100000381469727,-1.8999996185302734
mfe,-20.0,-19.600000381469727,-0.39999961853027344
mfe,-20.0,-12.5,-7.5
mfe,-30.799999237060547,-20.5,-10.299999237060547
mfe,-29.100000381469727,-20.5,-8.600000381469727
mfe,-24.600000381469727,-20.5,-4.100000381469727
mfe,-24.799999237060547,-20.5,-4.299999237060547
mfe,-28.200000762939453,-20.5,-7.700000762939453
mfe,-24.100000381469727,-20.5,-3.6000003814697266
mfe,-31.299999237060547,-20.5,-10.799999237060547
mfe,-33.5,-20.5,-13.0
mfe,-33.5,-31.700000762939453,-1.7999992370605469
mfe,-19.0,-13.199999809265137,-5.800000190734863
mfe,-25.700000762939453,-25.0,-0.7000007629394531
mfe,-25.700000762939453,-21.700000762939453,-4.0
mfe,-25.700000762939453,-24.600000381469727,-1.1000003814697266
mfe,-25.700000762939453,-22.600000381469727,-3.1000003814697266
mfe,-25.700000762939453,-13.199999809265137,-12.500000953674316
mfe,-35.5,-27.899999618530273,-7.600000381469727
mfe,-35.5,-17.899999618530273,-17.600000381469727
mfe,-24.5,-17.899999618530273,-6.600000381469727
mfe,-30.5,-27.899999618530273,-2.6000003814697266
mfe,-30.5,-17.899999618530273,-12.600000381469727
mfe,-29.299999237060547,-27.899999618530273,-1.3999996185302734
mfe,-29.299999237060547,-17.899999618530273,-11.399999618530273
mfe,-20.5,-17.899999618530273,-2.6000003814697266
mfe,-19.5,-17.899999618530273,-1.6000003814697266
mfe,-27.299999237060547,-17.899999618530273,-9.399999618530273
mfe,-52.599998474121094,-49.20000076293945,-3.3999977111816406
mfe,-52.599998474121094,-40.29999923706055,-12.299999237060547
mfe,-42.099998474121094,-40.29999923706055,-1.7999992370605469
mfe,-41.79999923706055,-40.29999923706055,-1.5
mfe,-42.29999923706055,-40.29999923706055,-2.0
mfe,-44.29999923706055,-40.29999923706055,-4.0
mfe,-41.20000076293945,-33.79999923706055,-7.400001525878906
mfe,-41.20000076293945,-33.099998474121094,-8.10000228881836
mfe,-41.20000076293945,-37.400001525878906,-3.799999237060547
mfe,-41.20000076293945,-29.799999237060547,-11.400001525878906
mfe,-50.20000076293945,-41.29999923706055,-8.900001525878906
mfe,-50.20000076293945,-33.79999923706055,-16.400001525878906
mfe,-50.20000076293945,-33.099998474121094,-17.10000228881836
mfe,-50.20000076293945,-37.400001525878906,-12.799999237060547
mfe,-50.20000076293945,-29.799999237060547,-20.400001525878906
mfe,-40.5,-33.79999923706055,-6.700000762939453
mfe,-40.5,-33.099998474121094,-7.400001525878906
mfe,-40.5,-37.400001525878906,-3.0999984741210938
mfe,-40.5,-29.799999237060547,-10.700000762939453
mfe,-38.5,-33.79999923706055,-4.700000762939453
mfe,-38.5,-33.099998474121094,-5.400001525878906
mfe,-38.5,-37.400001525878906,-1.0999984741210938
mfe,-38.5,-29.799999237060547,-8.700000762939453
mfe,-37.70000076293945,-33.79999923706055,-3.9000015258789062
mfe,-37.70000076293945,-33.099998474121094,-4.600002288818359
mfe,-37.70000076293945,-37.400001525878906,-0.2999992370605469
mfe,-37.70000076293945,-29.799999237060547,-7.900001525878906
mfe,-29.5,-20.5,-9.0
mfe,-29.5,-24.200000762939453,-5.299999237060547
mfe,-29.5,-25.200000762939453,-4.299999237060547
mfe,-29.5,-18.799999237060547,-10.700000762939453
mfe,-28.200000762939453,-20.5,-7.700000762939453
mfe,-28.200000762939453,-24.200000762939453,-4.0
mfe,-28.200000762939453,-25.200000762939453,-3.0
mfe,-28.200000762939453,-18.799999237060547,-9.400001525878906
mfe,-32.400001525878906,-20.5,-11.900001525878906
mfe,-32.400001525878906,-24.200000762939453,-8.200000762939453
mfe,-32.400001525878906,-25.200000762939453,-7.200000762939453
mfe,-32.400001525878906,-18.799999237060547,-13.60000228881836
mfe,-25.5,-20.5,-5.0
mfe,-25.5,-24.200000762939453,-1.2999992370605469
mfe,-25.5,-25.200000762939453,-0.2999992370605469
mfe,-25.5,-18.799999237060547,-6.700000762939453
mfe,-36.900001525878906,-20.5,-16.400001525878906
mfe,-36.900001525878906,-24.200000762939453,-12.700000762939453
mfe,-36.900001525878906,-25.200000762939453,-11.700000762939453
mfe,-36.900001525878906,-18.799999237060547,-18.10000228881836
mfe,-27.600000381469727,-20.5,-7.100000381469727
mfe,-27.600000381469727,-25.200000762939453,-2.3999996185302734
mfe,-27.600000381469727,-18.799999237060547,-8.80000114440918
mfe,-32.29999923706055,-27.100000381469727,-5.19999885559082
mfe,-33.0,-28.0,-5.0
mfe,-33.0,-32.70000076293945,-0.2999992370605469
mfe,-33.0,-27.100000381469727,-5.899999618530273
mfe,-34.70000076293945,-28.0,-6.700000762939453
mfe,-34.70000076293945,-32.70000076293945,-2.0
mfe,-34.70000076293945,-27.100000381469727,-7.600000381469727
mfe,-35.20000076293945,-28.0,-7.200000762939453
mfe,-35.20000076293945,-32.70000076293945,-2.5
mfe,-35.20000076293945,-34.70000076293945,-0.5
mfe,-35.20000076293945,-27.100000381469727,-8.100000381469727
mfe,-36.29999923706055,-32.70000076293945,-3.5999984741210938
mfe,-36.29999923706055,-34.70000076293945,-1.5999984741210938
mfe,-36.29999923706055,-27.100000381469727,-9.19999885559082
mfe,-22.399999618530273,-11.899999618530273,-10.5
mfe,-22.399999618530273,-10.100000381469727,-12.299999237060547
mfe,-22.399999618530273,-13.399999618530273,-9.0
mfe,-22.399999618530273,-18.600000381469727,-3.799999237060547
mfe,-22.399999618530273,-17.799999237060547,-4.600000381469727
mfe,-21.799999237060547,-11.899999618530273,-9.899999618530273
mfe,-21.799999237060547,-10.100000381469727,-11.69999885559082
mfe,-21.799999237060547,-13.399999618530273,-8.399999618530273
mfe,-21.799999237060547,-18.600000381469727,-3.1999988555908203
mfe,-44.400001525878906,-39.099998474121094,-5.3000030517578125
mfe,-44.400001525878906,-43.599998474121094,-0.8000030517578125
mfe,-40.400001525878906,-39.099998474121094,-1.3000030517578125
mfe,-43.29999923706055,-39.099998474121094,-4.200000762939453
mfe,-44.0,-39.099998474121094,-4.900001525878906
mfe,-44.0,-35.400001525878906,-8.599998474121094
mfe,-44.0,-43.599998474121094,-0.40000152587890625
mfe,-40.79999923706055,-39.099998474121094,-1.7000007629394531
mfe,-41.5,-39.099998474121094,-2.4000015258789062
