backbone_id,global_index,clean_pairs
8BIP_1_C4,88,2424
7UPH_1_J,184,1660
6XDR_1_d,105,1225
5VPP_1_YB,45,888
4WQY_1_DX,512,730
6GBZ_1_B,208,494
6WD5_1_2,0,464
4V64_1_BA,142,394
5EL7_1_2L,621,294
6UCQ_1_1y,198,265
5LZF_1_v,8,237
8B6C_1_7,73,228
7RYH_1_B,679,206
7U2I_1_1x,684,203
6XHW_1_2x,747,161
2BEE_1_A,172,141
6OM7_1_E,141,131
7ZJX_1_L7,556,129
4V8F_1_BB,794,129
5LMR_1_Z,352,127
2FMT_1_C,357,116
7EOM_1_A,818,116
6XJZ_1_A,1007,114
7PJY_1_w,640,99
6ZME_1_CC,822,99
7NQL_1_BB,231,97
6SPG_1_B,993,90
3OXJ_1_A,291,88
7P7T_1_B,1230,87
4V9A_1_CC,189,86
7Q08_1_3,771,85
7KGB_1_B,284,80
6ZTJ_1_AX,773,79
5FW1_1_A,742,78
7V08_1_3,1046,78
6U8U_1_A,418,77
7U2H_1_1y,810,75
8G61_1_Pt,1572,74
7QGG_1_v,952,72
7WII_1_V,1627,72
6O97_1_2y,120,70
4V87_1_CB,373,68
4V8P_1_B3,493,67
1KOG_1_N,1022,67
4WQF_1_DW,499,66
3EPK_1_F,638,66
8FL4_1_L4,2818,66
5WIT_1_1w,2275,63
8P60_1_K70,2000,56
7K54_1_5,458,55
5F5F_1_H,1709,55
3P22_1_A,1369,54
5FMZ_1_H,1716,54
7OZQ_1_E,2428,54
5B2S_1_A,1195,51
5WE4_1_w,1125,50
4WQR_1_3L,26,49
1QRT_1_B,170,49
2O3Y_1_A,770,49
4WQF_1_DY,115,47
6O9K_1_y,323,47
5GAD_1_1,611,47
6ZM6_1_x,2122,47
7O5B_1_U,462,43
7AZO_1_5SB,1809,43
6HA1_1_B,294,42
7NQH_1_AV,1427,42
8GWE_1_J,276,41
5LYS_1_B,798,41
8BR8_1_LE,1370,41
5JVG_1_Y,1561,41
4V5Q_1_BB,99,39
7ODT_1_B,649,39
7M5D_1_5,769,38
7UR5_1_v,1286,38
8G60_1_At,2168,38
1ASY_1_R,33,36
8CRX_1_b,716,36
7U2H_1_1w,720,36
5D8T_1_A,730,36
5JCH_1_X,895,36
5UZ6_1_C,1080,36
5V8I_1_1B,1851,36
5V6X_1_C,2064,36
5F8G_1_B,2732,36
2XXA_1_G,3454,36
7KJX_1_C,1160,35
7U2J_1_2w,647,34
7NWW_1_z,999,34
5D5L_1_C,1197,34
3KFU_1_M,1355,34
4X4R_1_D,3113,33
6PRV_1_A,614,32
7ZAH_1_4,826,31
5MDY_1_5,1843,31
6F4H_1_F,2435,31
7XD9_1_H,882,30
7O1C_1_B8,916,30
7YYM_1_B,1073,30
3FTE_1_C,1829,30
6DLQ_1_A,150,29
6LAU_1_B,534,29
8AZW_1_C,600,29
6GSJ_1_3K,3150,29
4WR6_1_2L,3773,29
8AGV_1_y,327,28
3OX0_1_B,472,28
8EKC_1_B,2253,28
6OJ2_1_QY,2262,28
6CB3_1_B,2370,28
2EZ6_1_D,2790,28
3ADC_1_C,27,27
2BTE_1_B,1312,27
6LAX_1_B,2398,27
7QIW_1_5,3012,27
6SV4_1_n,3197,27
6BMD_1_A,536,26
4V70_1_A1,659,26
6AEB_1_E,660,26
7RGU_1_D,966,26
3KFU_1_K,2328,26
6ND6_1_1y,3036,26
1U63_1_B,448,24
5JTE_1_AX,496,24
8SXL_1_A,685,24
3BNN_1_A,1628,24
8EUI_1_9,2576,24
5K7E_1_A,1112,23
6WW6_1_D,1357,23
5XXB_1_3,3091,23
4WRA_1_2K,3798,23
7R81_1_B1,4108,23
7OLD_1_3,412,22
5LYU_1_A,1402,22
5T5H_1_D,3333,22
4V7B_1_AW,205,21
8Q5I_1_10,522,21
1QA6_1_C,788,21
7SZU_1_R,1134,21
2DEU_1_D,1922,21
5V6X_1_D,2159,21
2D6F_1_E,2533,21
4WRA_1_1L,2604,21
7OZQ_1_F,2931,21
2BU1_1_S,3298,21
4M30_1_D,3813,21
5IBB_1_2L,3972,21
7N31_1_Dt,140,20
2V0G_1_F,407,20
3JBO_1_AB,717,20
6YTF_1_7,814,20
4ZT9_1_B,847,20
8E40_1_r,853,20
1I6U_1_D,1645,20
4V5H_1_AV,3560,20
7Z4I_1_A,531,19
8IPD_1_3,542,19
6B4V_1_IA,631,19
3NPN_1_A,1056,19
1ZHO_1_B,1189,19
6BJG_1_C,1328,19
7CHD_1_I,1339,19
6HAK_1_E,1459,19
5GAK_1_B,1555,19
2ZNI_1_C,2184,19
6AZ3_1_8,2776,19
3VJR_1_D,3006,19
7PO2_1_5,3136,19
7PWG_1_3,3495,19
3TRA_1_A,4039,19
7B7D_1_Sn,41,18
8G6W_1_Z,213,18
5X2G_1_B,216,18
8HRB_1_V,241,18
8G61_1_At,430,18
7XD8_1_H,657,18
7URM_1_v,725,18
6YS3_1_v,1274,18
3B0V_1_A,1377,18
1U1Y_1_S,1406,18
7OM7_1_H,1711,18
7YSE_1_F,1881,18
5BKL_1_Y,2241,18
7NHM_1_B,2643,18
7BHP_1_B,2754,18
1RY1_1_E,2851,18
6TNU_1_n,3160,18
5MLC_1_B,3493,18
7OF1_1_3,3526,18
4JRT_1_A,3640,18
3J5L_1_B,3689,18
4QQB_1_C,625,17
7N2V_1_Pt,678,17
6TQB_1_B,1182,17
2ZZN_1_C,1675,17
1AQ3_1_R,1700,17
2VPL_1_D,2300,17
6K4U_1_A,2545,17
7MLX_1_R,2658,17
7QI4_1_Ax,3003,17
5E6M_1_C,3310,17
6SKF_1_BB,3327,17
5W4K_1_1y,3391,17
5IB7_1_1L,3916,17
8E79_1_R,4083,17
4V5F_1_CW,316,16
4QI2_1_E,588,16
6UO1_1_1w,648,16
4V4I_1_z,705,16
6JXM_1_B,807,16
6X5M_1_r,998,16
3JBV_1_a,1393,16
1H4Q_1_T,1622,16
3B31_1_A,1668,16
7N31_1_Pt,1707,16
